"Channel 452"	"Channel 523"	"Channel 594"	"Channel 676"	"X (pixel)"	"Y (pixel)"	"X (microns)"	"Y (microns)"	"X__1"
119	159	1682	0	264	734	28.8288	80.1528	NA
123	0	1372	197	265	733	28.938	80.0436	NA
134	0	1390	0	266	733	29.0472	80.0436	NA
127	181	1585	0	267	732	29.1564	79.9344	NA
127	189	1752	0	268	731	29.2656	79.8252	NA
131	173	819	0	269	731	29.3748	79.8252	NA
127	0	1034	0	270	730	29.484	79.716	NA
121	157	1166	0	271	729	29.5932	79.6068	NA
131	167	1798	0	272	728	29.7024	79.4976	NA
127	197	4196	0	273	728	29.8116	79.4976	NA
123	172	2579	0	274	727	29.9208	79.3884	NA
123	158	1647	0	275	726	30.03	79.2792	NA
134	0	1276	0	276	726	30.1392	79.2792	NA
125	0	737	0	277	725	30.2484	79.17	NA
119	156	580	194	278	724	30.3576	79.0608	NA
120	0	426	0	279	724	30.4668	79.0608	NA
0	0	313	0	280	723	30.576	78.9516	NA
125	0	874	0	281	722	30.6852	78.8424	NA
130	194	1627	0	282	722	30.7944	78.8424	NA
124	294	2683	0	283	721	30.9036	78.7332	NA
122	298	4443	299	284	720	31.0128	78.624	NA
130	248	16343	1535	285	719	31.122	78.5148	NA
129	365	24440	4352	286	719	31.2312	78.5148	NA
121	200	19400	2183	287	718	31.3404	78.4056	NA
126	0	14235	321	288	717	31.4496	78.2964	NA
122	0	11638	300	289	717	31.5588	78.2964	NA
132	0	5346	500	290	716	31.668	78.1872	NA
131	0	2761	486	291	715	31.7772	78.078	NA
127	0	1651	437	292	715	31.8864	78.078	NA
125	166	1405	0	293	714	31.9956	77.9688	NA
132	166	1437	0	294	713	32.1048	77.8596	NA
126	156	1305	0	295	712	32.214	77.7504	NA
134	0	1979	0	296	712	32.3232	77.7504	NA
126	0	581	0	297	711	32.4324	77.6412	NA
120	0	939	0	298	710	32.5416	77.532	NA
130	0	1326	467	299	710	32.6508	77.532	NA
126	207	6705	437	300	709	32.76	77.4228	NA
133	469	17756	338	301	708	32.8692	77.3136	NA
123	541	20323	339	302	708	32.9784	77.3136	NA
127	428	9422	262	303	707	33.0876	77.2044	NA
121	265	4478	340	304	706	33.1968	77.0952	NA
120	244	4554	313	305	706	33.306	77.0952	NA
119	185	4508	231	306	705	33.4152	76.986	NA
120	164	3188	0	307	704	33.5244	76.8768	NA
142	183	1662	0	308	703	33.6336	76.7676	NA
138	171	1259	0	309	703	33.7428	76.7676	NA
126	0	1912	0	310	702	33.852	76.6584	NA
118	0	2922	0	311	701	33.9612	76.5492	NA
122	0	2921	0	312	701	34.0704	76.5492	NA
121	0	2599	0	313	700	34.1796	76.44	NA
120	0	1997	0	314	699	34.2888	76.3308	NA
123	0	1051	0	315	699	34.398	76.3308	NA
119	166	939	235	316	698	34.5072	76.2216	NA
124	206	955	371	317	697	34.6164	76.1124	NA
121	218	1423	376	318	697	34.7256	76.1124	NA
125	221	2004	353	319	696	34.8348	76.0032	NA
120	223	10027	533	320	695	34.944	75.894	NA
126	211	16147	538	321	694	35.0532	75.7848	NA
123	176	7457	769	322	694	35.1624	75.7848	NA
121	167	2160	688	323	693	35.2716	75.6756	NA
120	0	1055	286	324	692	35.3808	75.5664	NA
119	0	966	238	325	692	35.49	75.5664	NA
119	0	3521	235	326	691	35.5992	75.4572	NA
124	0	5073	1078	327	690	35.7084	75.348	NA
125	0	2668	1903	328	690	35.8176	75.348	NA
124	188	2265	1792	329	689	35.9268	75.2388	NA
133	299	5440	401	330	688	36.036	75.1296	NA
122	346	16422	0	331	688	36.1452	75.1296	NA
120	318	16604	273	332	687	36.2544	75.0204	NA
128	156	11718	1361	333	686	36.3636	74.9112	NA
125	191	14341	2416	334	685	36.4728	74.802	NA
123	338	7718	900	335	685	36.582	74.802	NA
131	1196	2575	302	336	684	36.6912	74.6928	NA
132	3468	2199	265	337	683	36.8004	74.5836	NA
130	3959	5307	775	338	683	36.9096	74.5836	NA
140	1682	12583	0	339	682	37.0188	74.4744	NA
134	799	10819	0	340	681	37.128	74.3652	NA
129	379	5353	0	341	681	37.2372	74.3652	NA
119	216	1400	0	342	680	37.3464	74.256	NA
0	0	513	0	343	679	37.4556	74.1468	NA
119	0	446	0	344	679	37.5648	74.1468	NA
123	177	166	0	345	678	37.674	74.0376	NA
121	230	0	0	346	677	37.7832	73.9284	NA
131	167	0	0	347	676	37.8924	73.8192	NA
140	163	0	0	348	676	38.0016	73.8192	NA
140	0	646	0	349	675	38.1108	73.71	NA
126	0	2857	216	350	674	38.22	73.6008	NA
130	241	3003	261	351	674	38.3292	73.6008	NA
143	467	11105	370	352	673	38.4384	73.4916	NA
140	1143	13230	319	353	672	38.5476	73.3824	NA
142	2227	20183	277	354	672	38.6568	73.3824	NA
137	2714	18539	212	355	671	38.766	73.2732	NA
124	1412	10564	0	356	670	38.8752	73.164	NA
120	881	3434	0	357	669	38.9844	73.0548	NA
125	535	2203	0	358	669	39.0936	73.0548	NA
125	293	1420	0	359	668	39.2028	72.9456	NA
124	0	429	0	360	667	39.312	72.8364	NA
130	0	0	0	361	667	39.4212	72.8364	NA
132	164	0	0	362	666	39.5304	72.7272	NA
127	174	0	247	363	665	39.6396	72.618	NA
133	176	0	566	364	665	39.7488	72.618	NA
123	0	277	1325	365	664	39.858	72.5088	NA
124	0	345	982	366	663	39.9672	72.3996	NA
129	0	552	381	367	663	40.0764	72.3996	NA
132	0	971	0	368	662	40.1856	72.2904	NA
132	165	1442	1081	369	661	40.2948	72.1812	NA
125	241	2035	2444	370	660	40.404	72.072	NA
126	260	2835	3940	371	660	40.5132	72.072	NA
127	249	2677	947	372	659	40.6224	71.9628	NA
131	388	4173	384	373	658	40.7316	71.8536	NA
126	503	4359	322	374	658	40.8408	71.8536	NA
132	481	4725	367	375	657	40.95	71.7444	NA
148	299	5837	387	376	656	41.0592	71.6352	NA
155	239	7531	364	377	656	41.1684	71.6352	NA
151	194	2257	421	378	655	41.2776	71.526	NA
140	198	2477	542	379	654	41.3868	71.4168	NA
140	219	2885	642	380	654	41.496	71.4168	NA
148	290	3101	2643	381	653	41.6052	71.3076	NA
144	304	3443	3729	382	652	41.7144	71.1984	NA
121	355	3473	1425	383	651	41.8236	71.0892	NA
129	491	3903	485	384	651	41.9328	71.0892	NA
128	446	3164	0	385	650	42.042	70.98	NA
134	352	2093	0	386	649	42.1512	70.8708	NA
136	293	2189	0	387	649	42.2604	70.8708	NA
122	203	1051	0	388	648	42.3696	70.7616	NA
0	0	358	0	389	647	42.4788	70.6524	NA
0	0	604	0	390	647	42.588	70.6524	NA
131	0	577	0	391	646	42.6972	70.5432	NA
126	0	750	0	392	645	42.8064	70.434	NA
128	0	909	0	393	645	42.9156	70.434	NA
124	0	927	0	394	644	43.0248	70.3248	NA
0	0	782	0	395	643	43.134	70.2156	NA
119	171	994	287	396	642	43.2432	70.1064	NA
121	254	1321	668	397	642	43.3524	70.1064	NA
137	265	1535	278	398	641	43.4616	69.9972	NA
134	172	963	0	399	640	43.5708	69.888	NA
129	163	1019	0	400	640	43.68	69.888	NA
128	0	922	0	401	639	43.7892	69.7788	NA
138	169	1012	0	402	638	43.8984	69.6696	NA
131	206	1415	0	403	638	44.0076	69.6696	NA
131	250	1414	0	404	637	44.1168	69.5604	NA
130	270	1822	242	405	636	44.226	69.4512	NA
135	306	2213	276	406	636	44.3352	69.4512	NA
137	302	1750	523	407	635	44.4444	69.342	NA
139	237	939	650	408	634	44.5536	69.2328	NA
129	191	1878	323	409	633	44.6628	69.1236	NA
132	164	2110	217	410	633	44.772	69.1236	NA
127	0	1260	0	411	632	44.8812	69.0144	NA
131	0	422	0	412	631	44.9904	68.9052	NA
125	0	693	0	413	631	45.0996	68.9052	NA
126	0	449	0	414	630	45.2088	68.796	NA
131	0	399	0	415	629	45.318	68.6868	NA
132	0	837	0	416	629	45.4272	68.6868	NA
122	0	1754	0	417	628	45.5364	68.5776	NA
133	0	861	0	418	627	45.6456	68.4684	NA
127	0	421	0	419	626	45.7548	68.3592	NA
129	0	601	269	420	626	45.864	68.3592	NA
136	0	1456	454	421	625	45.9732	68.25	NA
126	0	6311	334	422	624	46.0824	68.1408	NA
128	0	7537	431	423	624	46.1916	68.1408	NA
130	0	3696	0	424	623	46.3008	68.0316	NA
124	0	764	0	425	622	46.41	67.9224	NA
123	0	500	0	426	622	46.5192	67.9224	NA
126	0	1238	0	427	621	46.6284	67.8132	NA
123	0	2009	0	428	620	46.7376	67.704	NA
121	0	3250	0	429	620	46.8468	67.704	NA
131	0	13920	0	430	619	46.956	67.5948	NA
128	0	18427	0	431	618	47.0652	67.4856	NA
123	207	13628	0	432	618	47.1744	67.4856	"join"
119	538	2380	269	433	617	47.2836	67.3764	NA
125	863	2907	433	434	616	47.3928	67.2672	NA
121	758	2608	567	435	616	47.502	67.2672	NA
139	1209	4198	565	436	615	47.6112	67.158	NA
128	677	4430	215	437	614	47.7204	67.0488	NA
123	386	1810	0	438	613	47.8296	66.9396	NA
126	302	1022	0	439	612	47.9388	66.8304	NA
127	291	749	0	440	612	48.048	66.8304	NA
123	548	523	345	441	611	48.1572	66.7212	NA
126	850	305	1003	442	610	48.2664	66.612	NA
129	1311	230	794	443	609	48.3756	66.5028	NA
127	536	268	193	444	608	48.4848	66.3936	NA
122	327	291	0	445	608	48.594	66.3936	NA
0	0	349	0	446	607	48.7032	66.2844	NA
123	0	943	0	447	606	48.8124	66.1752	NA
127	0	2395	0	448	605	48.9216	66.066	NA
127	0	1182	0	449	604	49.0308	65.9568	NA
123	217	690	329	450	603	49.14	65.8476	NA
130	191	428	748	451	603	49.2492	65.8476	NA
121	226	571	2288	452	602	49.3584	65.7384	NA
132	189	685	2010	453	601	49.4676	65.6292	NA
135	210	2718	347	454	600	49.5768	65.52	NA
129	328	5150	0	455	599	49.686	65.4108	NA
120	460	1664	0	456	599	49.7952	65.4108	NA
124	1124	2293	447	457	598	49.9044	65.3016	NA
127	2947	5591	851	458	597	50.0136	65.1924	NA
131	2364	4423	564	459	596	50.1228	65.0832	"join"
129	805	4353	840	460	596	50.232	65.0832	NA
133	448	3358	0	461	595	50.3412	64.974	NA
129	205	940	0	462	595	50.4504	64.974	NA
132	158	813	0	463	594	50.5596	64.8648	NA
130	176	731	0	464	594	50.6688	64.8648	NA
129	469	2070	0	465	593	50.778	64.7556	NA
128	1020	6450	331	466	593	50.8872	64.7556	NA
119	1722	5490	199	467	592	50.9964	64.6464	NA
0	1586	8302	203	468	592	51.1056	64.6464	NA
127	658	4060	0	469	591	51.2148	64.5372	NA
133	269	1008	0	470	590	51.324	64.428	NA
127	187	738	0	471	590	51.4332	64.428	NA
127	0	635	0	472	589	51.5424	64.3188	NA
128	184	1098	0	473	589	51.6516	64.3188	NA
124	0	2235	0	474	588	51.7608	64.2096	NA
141	0	2919	0	475	588	51.87	64.2096	NA
129	0	1097	0	476	587	51.9792	64.1004	NA
138	0	1087	0	477	587	52.0884	64.1004	NA
132	0	1422	0	478	586	52.1976	63.9912	NA
125	0	1808	0	479	586	52.3068	63.9912	NA
129	0	988	0	480	585	52.416	63.882	NA
132	0	250	0	481	584	52.5252	63.7728	NA
129	0	250	0	482	584	52.6344	63.7728	NA
135	0	385	0	483	583	52.7436	63.6636	NA
128	0	432	0	484	583	52.8528	63.6636	NA
128	0	593	0	485	582	52.962	63.5544	NA
129	0	1167	0	486	582	53.0712	63.5544	NA
126	0	3236	0	487	581	53.1804	63.4452	NA
126	0	6351	233	488	581	53.2896	63.4452	NA
126	0	3089	0	489	580	53.3988	63.336	NA
126	0	1421	196	490	580	53.508	63.336	NA
125	0	1704	277	491	579	53.6172	63.2268	NA
134	0	1793	376	492	579	53.7264	63.2268	NA
139	0	1525	1129	493	578	53.8356	63.1176	NA
125	0	1197	792	494	577	53.9448	63.0084	NA
126	172	1056	304	495	577	54.054	63.0084	NA
132	350	1751	0	496	576	54.1632	62.8992	NA
126	530	4839	0	497	576	54.2724	62.8992	NA
132	740	2865	0	498	575	54.3816	62.79	NA
131	790	1232	0	499	575	54.4908	62.79	NA
138	465	775	0	500	574	54.6	62.6808	NA
134	367	849	0	501	574	54.7092	62.6808	NA
129	438	1261	0	502	573	54.8184	62.5716	NA
128	485	2591	0	503	573	54.9276	62.5716	NA
134	199	926	0	504	572	55.0368	62.4624	NA
140	0	1966	204	505	571	55.146	62.3532	NA
133	0	1925	919	506	571	55.2552	62.3532	NA
125	0	2266	2842	507	570	55.3644	62.244	NA
128	0	1515	2977	508	570	55.4736	62.244	NA
131	0	2370	796	509	569	55.5828	62.1348	NA
123	168	8690	260	510	569	55.692	62.1348	NA
131	201	11313	260	511	568	55.8012	62.0256	NA
135	202	10770	275	512	568	55.9104	62.0256	NA
142	0	1198	322	513	567	56.0196	61.9164	NA
139	0	577	216	514	567	56.1288	61.9164	NA
137	165	707	0	515	566	56.238	61.8072	NA
133	166	778	0	516	565	56.3472	61.698	NA
