"","Region","Start","End","Protein1","Protein2"
"1","Unreplicated",1,10,"[  ]","[  ]"
"2","ForkOpen",11,12,"[  ]","[  ]"
"3","Replicated",13,13,"[  ]","[  ]"
"4","ForkClose",14,15,"[  ]","[  ]"
"5","Unreplicated",16,52,"[ 43 ]","[  ]"
"6","ForkOpen",53,54,"[  ]","[  ]"
"7","Replicated",55,56,"[  ]","[  ]"
"8","ForkClose",57,58,"[  ]","[  ]"
"9","Unreplicated",59,78,"[  ]","[  ]"
"10","ForkOpen",79,80,"[  ]","[  ]"
"11","Replicated",81,85,"[  ]","[  ]"
"12","ForkClose",86,87,"[  ]","[  ]"
"13","Unreplicated",88,89,"[  ]","[  ]"
"14","ForkOpen",90,91,"[  ]","[  ]"
"15","Replicated",92,95,"[  ]","[  ]"
"16","ForkClose",96,97,"[  ]","[  ]"
"17","ForkOpen",98,99,"[ 98 ]","[  ]"
"18","Replicated",100,111,"[  ]","[ 101,102,103,104,110,111 ]"
"19","ForkClose",112,113,"[  ]","[  ]"
"20","Unreplicated",114,121,"[  ]","[  ]"
"21","Replicated",122,122,"[  ]","[  ]"
"22","Unreplicated",123,150,"[  ]","[ 146,147,148,149 ]"
"23","ForkOpen",151,152,"[  ]","[  ]"
"24","Replicated",153,153,"[  ]","[  ]"
"25","ForkClose",154,154,"[  ]","[  ]"
"26","ForkOpen",155,156,"[  ]","[  ]"
"27","Replicated",157,162,"[  ]","[  ]"
"28","ForkClose",163,164,"[  ]","[  ]"
"29","Unreplicated",165,190,"[  ]","[  ]"
"30","ForkOpen",191,192,"[  ]","[ 191,192 ]"
"31","Replicated",193,194,"[  ]","[ 193 ]"
"32","ForkClose",195,196,"[  ]","[  ]"
"33","Unreplicated",197,368,"[  ]","[ 234,235,358 ]"
"34","ForkOpen",369,371,"[ 371 ]","[  ]"
"35","ForkClose",372,372,"[ 372 ]","[  ]"
"36","Unreplicated",373,400,"[ 377,396 ]","[  ]"
"37","ForkOpen",401,402,"[  ]","[ 401 ]"
"38","Replicated",403,403,"[  ]","[  ]"
"39","ForkClose",404,405,"[  ]","[  ]"
"40","Unreplicated",406,415,"[  ]","[  ]"
"41","ForkOpen",416,417,"[  ]","[  ]"
"42","Replicated",418,419,"[  ]","[  ]"
"43","ForkClose",420,421,"[  ]","[  ]"
"44","Unreplicated",422,443,"[ 427,428,434 ]","[ 441,442,443 ]"
"45","ForkOpen",444,445,"[  ]","[  ]"
"46","Replicated",446,449,"[  ]","[  ]"
"47","ForkClose",450,451,"[  ]","[  ]"
"48","Unreplicated",452,465,"[  ]","[  ]"
"49","ForkOpen",466,467,"[  ]","[  ]"
"50","Replicated",468,472,"[  ]","[  ]"
"51","ForkClose",473,474,"[  ]","[  ]"
"52","Unreplicated",475,476,"[  ]","[  ]"
"53","ForkOpen",477,478,"[  ]","[  ]"
"54","Replicated",479,479,"[  ]","[ 479 ]"
"55","ForkClose",480,481,"[  ]","[ 480,481 ]"
"56","Unreplicated",482,532,"[  ]","[ 510,511,512 ]"
"57","ForkOpen",533,535,"[  ]","[  ]"
"58","ForkClose",536,536,"[  ]","[  ]"
"59","Unreplicated",537,573,"[ 540,551 ]","[ 538,539,540,541 ]"
"60","ForkOpen",574,576,"[ 576 ]","[  ]"
"61","ForkClose",577,577,"[  ]","[  ]"
"62","Unreplicated",578,579,"[  ]","[  ]"
"63","ForkOpen",580,582,"[  ]","[  ]"
"64","ForkClose",583,583,"[  ]","[  ]"
"65","Unreplicated",584,586,"[  ]","[  ]"
"66","ForkOpen",587,588,"[  ]","[ 588 ]"
"67","Replicated",589,594,"[  ]","[ 592,593,594 ]"
"68","ForkClose",595,596,"[  ]","[  ]"
"69","Unreplicated",597,601,"[  ]","[ 598 ]"
"70","ForkOpen",602,603,"[  ]","[  ]"
"71","Replicated",604,604,"[  ]","[  ]"
"72","ForkClose",605,606,"[  ]","[ 606 ]"
"73","Unreplicated",607,607,"[  ]","[  ]"
"74","ForkOpen",608,609,"[  ]","[  ]"
"75","Replicated",610,620,"[  ]","[ 615,616,617 ]"
"76","ForkClose",621,622,"[  ]","[  ]"
"77","Unreplicated",623,623,"[  ]","[  ]"
"78","Replicated",624,624,"[  ]","[  ]"
"79","Unreplicated",625,635,"[  ]","[  ]"
"80","ForkOpen",636,637,"[  ]","[  ]"
"81","Replicated",638,642,"[  ]","[  ]"
"82","ForkClose",643,644,"[ 643 ]","[ 644 ]"
"83","Unreplicated",645,656,"[  ]","[ 645 ]"
"84","ForkOpen",657,658,"[  ]","[  ]"
"85","Replicated",659,673,"[  ]","[ 662,663,669 ]"
"86","ForkClose",674,675,"[  ]","[  ]"
"87","Unreplicated",676,681,"[  ]","[  ]"
"88","ForkOpen",682,683,"[  ]","[  ]"
"89","Replicated",684,688,"[  ]","[  ]"
"90","ForkClose",689,690,"[  ]","[  ]"
"91","Unreplicated",691,694,"[  ]","[  ]"
"92","ForkOpen",695,696,"[ 696 ]","[  ]"
"93","Replicated",697,703,"[ 697 ]","[  ]"
"94","ForkClose",704,705,"[  ]","[  ]"
"95","ForkOpen",706,707,"[  ]","[  ]"
"96","Replicated",708,716,"[  ]","[  ]"
"97","ForkClose",717,718,"[  ]","[  ]"
